tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
782,08:20.2,21:22.4,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,48857,Subscriber,1996,1
581,43:03.7,52:45.5,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,48753,Subscriber,1985,2
491,43:21.9,51:33.6,3211,Newark Ave,40.72152515,-74.04630454,3638,Washington St,40.7242941,-74.0354826,39839,Subscriber,1988,2
4917,57:17.3,19:15.3,3210,Pershing Field,40.74267714,-74.05178863,3207,Oakland Ave,40.7376037,-74.0524783,42363,Subscriber,1987,1
755,28:46.7,41:22.5,3209,Brunswick St,40.7241765,-74.0506564,3639,Harborside,40.7192517,-74.034234,45261,Subscriber,1988,2
412,53:04.8,59:57.0,3276,Marin Light Rail,40.71458404,-74.04281706,3638,Washington St,40.7242941,-74.0354826,28364,Subscriber,1989,1
705,56:32.2,08:17.3,3639,Harborside,40.7192517,-74.034234,3209,Brunswick St,40.7241765,-74.0506564,45261,Subscriber,1988,2
731,19:51.8,32:02.9,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3202,Newport PATH,40.7272235,-74.0337589,44723,Customer,1969,0
532,23:48.0,32:40.7,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,42120,Subscriber,1985,2
409,41:24.9,48:14.1,3203,Hamilton Park,40.72759597,-74.04424731,3185,City Hall,40.7177325,-74.043845,38906,Subscriber,1982,1
462,46:22.5,54:05.5,3206,Hilltop,40.7311689,-74.0575736,3202,Newport PATH,40.7272235,-74.0337589,45822,Subscriber,1990,1
966,52:54.4,09:01.1,3681,Grand St,40.71517768,-74.03768331,3202,Newport PATH,40.7272235,-74.0337589,44683,Subscriber,1996,1
333,16:37.3,22:11.2,3638,Washington St,40.7242941,-74.0354826,3276,Marin Light Rail,40.71458404,-74.04281706,28364,Subscriber,1989,1
743,12:35.7,24:59.3,3195,Sip Ave,40.7308971,-74.06391263,3677,Glenwood Ave,40.72755147,-74.07106072,48857,Subscriber,1994,2
1078,25:06.1,43:05.0,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,46527,Subscriber,1989,1
543,33:20.0,42:23.9,3276,Marin Light Rail,40.71458404,-74.04281706,3185,City Hall,40.7177325,-74.043845,32526,Subscriber,1987,1
467,05:09.4,12:57.0,3481,York St,40.71649,-74.04105,3186,Grove St PATH,40.71958612,-74.04311746,47257,Subscriber,1969,1
261,29:53.9,34:15.2,3211,Newark Ave,40.72152515,-74.04630454,3185,City Hall,40.7177325,-74.043845,33149,Subscriber,1952,1
1550,30:47.0,56:37.3,3194,McGinley Square,40.72533993,-74.06762213,3638,Washington St,40.7242941,-74.0354826,30360,Subscriber,1985,2
731,43:07.0,55:18.9,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,44452,Subscriber,1975,1
62,46:39.2,47:42.0,3275,Columbus Drive,40.7183552,-74.03891444,3275,Columbus Drive,40.7183552,-74.03891444,44555,Subscriber,1986,1
306,22:16.0,27:22.6,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,46929,Customer,1969,0
2643,26:14.2,10:17.4,3210,Pershing Field,40.74267714,-74.05178863,3210,Pershing Field,40.74267714,-74.05178863,42704,Customer,1969,0
103,56:24.8,58:08.0,3205,JC Medical Center,40.71653978,-74.04963791,3213,Van Vorst Park,40.71848892,-74.04772663,44452,Subscriber,1992,1
904,02:12.3,17:16.9,3267,Morris Canal,40.71241882,-74.03852552,3203,Hamilton Park,40.72759597,-74.04424731,44774,Customer,1969,0
840,28:20.0,42:20.3,3209,Brunswick St,40.7241765,-74.0506564,3210,Pershing Field,40.74267714,-74.05178863,45261,Subscriber,1962,1
139,33:35.9,35:55.1,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,46929,Subscriber,1949,1
671,58:37.1,09:48.5,3203,Hamilton Park,40.72759597,-74.04424731,3267,Morris Canal,40.71241882,-74.03852552,31794,Customer,1969,0
2256,04:11.4,41:48.0,3278,Monmouth and 6th,40.72568548,-74.04879034,3278,Monmouth and 6th,40.72568548,-74.04879034,40168,Customer,1996,1
2249,06:58.8,44:27.9,3192,Liberty Light Rail,40.7112423,-74.0557013,3268,Lafayette Park,40.71346383,-74.06285852,42585,Subscriber,1980,1
422,07:14.3,14:16.3,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,40549,Subscriber,1991,1
578,07:41.7,17:20.4,3638,Washington St,40.7242941,-74.0354826,3681,Grand St,40.71517768,-74.03768331,30360,Subscriber,1995,1
369,13:21.8,19:31.4,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,42492,Subscriber,1969,1
576,19:06.5,28:43.4,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,44723,Subscriber,1993,2
1808,28:43.3,58:52.3,3280,Astor Place,40.7192822,-74.07126188,3202,Newport PATH,40.7272235,-74.0337589,33961,Customer,1969,0
1309,29:50.4,51:40.4,3268,Lafayette Park,40.71346383,-74.06285852,3211,Newark Ave,40.72152515,-74.04630454,44911,Subscriber,1989,2
303,52:48.8,57:52.0,3481,York St,40.71649,-74.04105,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42112,Subscriber,1985,1
640,03:14.8,13:55.4,3202,Newport PATH,40.7272235,-74.0337589,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,33961,Customer,1990,1
1074,05:14.9,23:09.2,3280,Astor Place,40.7192822,-74.07126188,3213,Van Vorst Park,40.71848892,-74.04772663,41618,Customer,1969,0
